"learner_id","country","region","job_role","industry","background","r_experience_level","week","study_hours","lessons_completed","confidence_score","pre_assessment_score","project_score","completion_status","first_script_completed","used_rstudio","used_quarto","used_git","used_renv","preferred_learning_mode","monthly_income_band","manager_support","payment_probability_score","high_project_score","score_gap","study_band"
"L0138","Australia","South America","Clerk","Tech","Excel","Beginner",9,13.9,10,95,59,65.95,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Hybrid","Upper-Middle",FALSE,15.9,FALSE,6.95,"High study time"
"L0139","Nigeria","North America","Student","Finance","Google Sheets","Intermediate",10,10.5,40,91,51,75.25,"Dropped",FALSE,FALSE,TRUE,TRUE,TRUE,"Instructor-Led","High",FALSE,4.1,FALSE,24.25,"High study time"
"L0140","Germany","Europe","Engineer","Education","Excel","Beginner",7,9.8,34,71,42,84.9,"Completed",TRUE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",FALSE,21.8,TRUE,42.9,"High study time"
"L0141","Norway","Oceania","Analyst","Tech","Google Sheets","Beginner",6,8.5,18,NA,74,91.25,"In Progress",FALSE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","Lower-Middle",TRUE,22.1,TRUE,17.25,"High study time"
"L0143","United States","Africa","Engineer","Healthcare","Power Bi","Beginner",5,11,18,58,59,75.5,"Dropped",TRUE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","High",FALSE,24.2,FALSE,16.5,"High study time"
"L0144","United Kingdom","Oceania","Consultant","Education","Power Bi","Beginner",5,13.5,10,NA,69,63.75,"Paused",TRUE,TRUE,TRUE,FALSE,TRUE,"Instructor-Led","Low",FALSE,24.9,FALSE,-5.25,"High study time"
"L0144","Brazil","Asia","Manager","Education","Excel","Beginner",12,20.3,11,90,28,82.15,"In Progress",FALSE,TRUE,TRUE,TRUE,FALSE,"Hybrid","Upper-Middle",TRUE,8.9,TRUE,54.15,"High study time"
"L0146","Denmark","North America","Analyst","Education","Excel","Beginner",8,15,38,72,72,80.5,"Paused",FALSE,FALSE,TRUE,TRUE,TRUE,"Instructor-Led","Low",TRUE,23.5,TRUE,8.5,"High study time"
"L0147","Denmark","North America","Analyst","Government","Power Bi","Beginner",1,9.4,39,50,32,83.7,"Completed",TRUE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Lower-Middle",FALSE,23.5,TRUE,51.7,"High study time"
"L0149","Denmark","South America","Engineer","Education","Spreadsheet","Advanced",12,6.5,31,83,21,96.25,"In Progress",TRUE,FALSE,TRUE,FALSE,FALSE,"Self-Paced","High",FALSE,23.5,TRUE,75.25,"Moderate study time"
"L0149","France","Africa","Clerk","Government","Spreadsheet","Beginner",8,8,32,99,33,64,"Completed",TRUE,TRUE,FALSE,TRUE,FALSE,"Self-Paced","Lower-Middle",FALSE,14.1,FALSE,31,"High study time"
"L0151","Brazil","Oceania","Clerk","Tech","Power Bi","Intermediate",4,7.3,17,47,64,81.65,"Completed",FALSE,TRUE,TRUE,FALSE,FALSE,"Hybrid","Lower-Middle",FALSE,8.9,TRUE,17.65,"Moderate study time"
"L0152","Switzerland","Asia","Student","Tech","Ms Excel","Beginner",12,11.9,25,NA,66,90.95,"Dropped",FALSE,TRUE,TRUE,FALSE,FALSE,"Instructor-Led","Low",TRUE,19.7,TRUE,24.95,"High study time"
"L0153","Singapore","Asia","Analyst","Healthcare","Ms Excel","Intermediate",10,4.7,33,45,42,57.35,"Paused",TRUE,TRUE,FALSE,TRUE,TRUE,"Self-Paced","Low",TRUE,20.4,FALSE,15.35,"Moderate study time"
"L0154","Denmark","Europe","Manager","Government","Manual Reporting","Intermediate",8,17.7,29,78,54,100,"Dropped",TRUE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",FALSE,23.5,TRUE,46,"High study time"
"L0155","Ireland","South America","Consultant","Retail","Excel","Beginner",12,14.9,13,NA,58,100,"Completed",FALSE,TRUE,FALSE,TRUE,FALSE,"Self-Paced","Low",FALSE,25.8,TRUE,42,"High study time"
"L0156","Singapore","South America","Clerk","Government","Spreadsheet","Beginner",8,16.4,6,80,72,98.2,"Paused",FALSE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Lower-Middle",TRUE,20.4,TRUE,26.2,"High study time"
"L0157","South Korea","Europe","Manager","Government","Google Sheets","Beginner",10,11.9,34,82,55,87.95,"Completed",FALSE,TRUE,FALSE,TRUE,TRUE,"Self-Paced","High",TRUE,18.6,TRUE,32.95,"High study time"
"L0158","Denmark","Europe","Clerk","Healthcare","Power Bi","Intermediate",11,16.2,30,46,23,83.1,"Completed",FALSE,TRUE,FALSE,TRUE,TRUE,"Instructor-Led","Low",FALSE,23.5,TRUE,60.1,"High study time"
"L0159","Germany","Europe","Clerk","Tech","Excel","Intermediate",9,13.3,43,72,35,95.65,"Paused",TRUE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","High",FALSE,21.8,TRUE,60.65,"High study time"
"L0161","Switzerland","South America","Clerk","Retail","Power Bi","Intermediate",6,9.2,26,51,48,83.6,"Dropped",TRUE,TRUE,FALSE,TRUE,TRUE,"Instructor-Led","Low",FALSE,19.7,TRUE,35.6,"High study time"
"L0162","Singapore","Oceania","Engineer","Education","Google Sheets","Beginner",5,9.5,18,48,62,65.75,"Paused",TRUE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","High",FALSE,20.4,FALSE,3.75,"High study time"
"L0163","China","North America","Clerk","Education","Excel","Beginner",1,14,34,78,70,92,"Dropped",FALSE,TRUE,FALSE,FALSE,TRUE,"Hybrid","High",TRUE,16.5,TRUE,22,"High study time"
"L0164","Singapore","Africa","Clerk","Government","Google Sheets","Intermediate",4,7.6,14,81,25,84.8,"Completed",TRUE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","Upper-Middle",FALSE,20.4,TRUE,59.8,"Moderate study time"
"L0165","Singapore","North America","Manager","Healthcare","Spreadsheet","Intermediate",12,19.7,16,92,40,69.85,"Dropped",FALSE,TRUE,TRUE,FALSE,TRUE,"Self-Paced","High",TRUE,20.4,FALSE,29.85,"High study time"
"L0166","Japan","Oceania","Consultant","Finance","Ms Excel","Intermediate",11,12.9,14,56,80,98.45,"Dropped",TRUE,FALSE,FALSE,TRUE,FALSE,"Hybrid","Low",FALSE,17.9,TRUE,18.45,"High study time"
"L0167","France","North America","Consultant","Tech","Excel","Beginner",7,14.8,34,66,57,63.4,"Completed",TRUE,FALSE,TRUE,TRUE,FALSE,"Instructor-Led","Low",TRUE,14.1,FALSE,6.4,"High study time"
"L0168","Denmark","Africa","Engineer","Education","Excel","Beginner",12,13.2,12,55,32,64.6,"Paused",TRUE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Low",FALSE,23.5,FALSE,32.6,"High study time"
"L0169","Germany","Europe","Engineer","Education","Power Bi","Advanced",1,19,26,87,51,100,"Completed",FALSE,TRUE,TRUE,FALSE,TRUE,"Hybrid","Low",TRUE,21.8,TRUE,49,"High study time"
"L0170","Denmark","Asia","Student","Government","Ms Excel","Beginner",9,10,41,80,60,97,"In Progress",FALSE,FALSE,FALSE,FALSE,TRUE,"Instructor-Led","High",TRUE,23.5,TRUE,37,"High study time"
"L0171","China","South America","Student","Tech","Excel","Beginner",11,11.5,12,88,21,70.75,"In Progress",TRUE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","Low",TRUE,16.5,FALSE,49.75,"High study time"
"L0172","United Kingdom","Asia","Clerk","Tech","Google Sheets","Beginner",12,12.5,31,79,23,69.25,"Dropped",TRUE,TRUE,FALSE,TRUE,TRUE,"Self-Paced","Lower-Middle",FALSE,24.9,FALSE,46.25,"High study time"
"L0173","Brazil","Europe","Analyst","Finance","Power Bi","Intermediate",10,11.3,20,69,25,81.65,"Completed",FALSE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Low",FALSE,8.9,TRUE,56.65,"High study time"
"L0174","France","North America","Consultant","Finance","Excel","Intermediate",9,12.3,26,64,79,89.15,"Completed",TRUE,FALSE,TRUE,TRUE,TRUE,"Hybrid","High",FALSE,14.1,TRUE,10.15,"High study time"
"L0175","Canada","Oceania","Consultant","Tech","Excel","Intermediate",12,10.2,36,75,29,97.1,"Completed",TRUE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","Lower-Middle",TRUE,17.2,TRUE,68.1,"High study time"
"L0177","Singapore","Europe","Consultant","Healthcare","Manual Reporting","Beginner",9,11.3,18,60,72,65.65,"Completed",FALSE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Lower-Middle",FALSE,20.4,FALSE,-6.34999999999999,"High study time"
"L0178","Japan","South America","Clerk","Finance","Ms Excel","Intermediate",10,11.8,43,75,38,83.9,"Completed",FALSE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","High",FALSE,17.9,TRUE,45.9,"High study time"
"L0180","South Korea","Oceania","Student","Healthcare","Power Bi","Beginner",10,8.3,34,69,56,99.15,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Upper-Middle",FALSE,18.6,TRUE,43.15,"High study time"
"L0181","Brazil","Asia","Student","Education","Power Bi","Beginner",1,13.9,18,63,39,71.95,"Paused",TRUE,FALSE,TRUE,TRUE,FALSE,"Instructor-Led","Low",FALSE,8.9,FALSE,32.95,"High study time"
"L0182","Norway","Oceania","Analyst","Tech","Google Sheets","Beginner",7,10.5,14,90,34,78.25,"In Progress",TRUE,FALSE,TRUE,TRUE,FALSE,"Hybrid","High",FALSE,22.1,FALSE,44.25,"High study time"
"L0183","Canada","South America","Consultant","Tech","Excel","Intermediate",12,12.9,33,41,68,70.45,"Dropped",TRUE,FALSE,FALSE,FALSE,FALSE,"Self-Paced","Upper-Middle",FALSE,17.2,FALSE,2.45,"High study time"
"L0184","Denmark","South America","Manager","Government","Power Bi","Advanced",12,12.4,42,56,23,59.2,"In Progress",FALSE,TRUE,FALSE,TRUE,FALSE,"Self-Paced","Lower-Middle",TRUE,23.5,FALSE,36.2,"High study time"
"L0185","South Korea","Africa","Analyst","Retail","Ms Excel","Beginner",3,13.5,34,75,61,69.75,"Completed",TRUE,TRUE,TRUE,FALSE,TRUE,"Instructor-Led","Upper-Middle",FALSE,18.6,FALSE,8.75,"High study time"
"L0186","Switzerland","Oceania","Consultant","Government","Power Bi","Intermediate",3,13.7,20,67,28,100,"In Progress",TRUE,TRUE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",TRUE,19.7,TRUE,72,"High study time"
"L0187","Denmark","Asia","Clerk","Tech","Ms Excel","Intermediate",5,13.2,23,93,34,100,"Completed",FALSE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","Upper-Middle",FALSE,23.5,TRUE,66,"High study time"
"L0188","Japan","Asia","Student","Healthcare","Spreadsheet","Beginner",12,15.4,19,99,31,67.7,"In Progress",TRUE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","High",TRUE,17.9,FALSE,36.7,"High study time"
"L0189","Indonesia","North America","Analyst","Finance","Power Bi","Beginner",1,9.5,23,82,20,99.75,"Dropped",TRUE,FALSE,FALSE,FALSE,TRUE,"Self-Paced","Low",FALSE,6.8,TRUE,79.75,"High study time"
"L0190","India","South America","Manager","Education","Google Sheets","Beginner",2,10.3,26,46,72,63.15,"Completed",TRUE,FALSE,FALSE,FALSE,TRUE,"Hybrid","Low",TRUE,9.7,FALSE,-8.85,"High study time"
"L0191","Denmark","South America","Manager","Finance","Spreadsheet","Intermediate",7,13.7,6,96,68,100,"Completed",FALSE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Upper-Middle",FALSE,23.5,TRUE,32,"High study time"
"L0192","Norway","Europe","Manager","Healthcare","Google Sheets","Intermediate",1,8.3,23,77,61,67.15,"Paused",FALSE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",TRUE,22.1,FALSE,6.15000000000001,"High study time"
"L0192","Nigeria","Asia","Consultant","Healthcare","Spreadsheet","Beginner",8,16.7,19,70,20,94.35,"Completed",TRUE,FALSE,TRUE,TRUE,FALSE,"Instructor-Led","Upper-Middle",FALSE,4.1,TRUE,74.35,"High study time"
"L0194","China","North America","Student","Retail","Manual Reporting","Advanced",3,11.2,16,80,41,63.6,"In Progress",FALSE,FALSE,TRUE,TRUE,TRUE,"Instructor-Led","Low",FALSE,16.5,FALSE,22.6,"High study time"
"L0195","Indonesia","Asia","Consultant","Retail","Google Sheets","Intermediate",6,11.7,36,42,67,56.85,"In Progress",TRUE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Low",TRUE,6.8,FALSE,-10.15,"High study time"
"L0196","Germany","North America","Clerk","Retail","Power Bi","Intermediate",1,16.2,18,58,52,94.1,"Paused",FALSE,FALSE,TRUE,TRUE,TRUE,"Self-Paced","Lower-Middle",FALSE,21.8,TRUE,42.1,"High study time"
"L0198","China","South America","Clerk","Retail","Spreadsheet","Beginner",11,13.6,16,54,71,88.8,"Completed",FALSE,TRUE,TRUE,TRUE,TRUE,"Hybrid","Low",FALSE,16.5,TRUE,17.8,"High study time"
"L0199","United Kingdom","Asia","Analyst","Finance","Manual Reporting","Intermediate",3,13.4,39,NA,54,100,"Completed",FALSE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","Lower-Middle",FALSE,24.9,TRUE,46,"High study time"
"L0200","South Korea","Asia","Student","Education","Ms Excel","Beginner",5,10.1,20,NA,29,73.05,"Completed",TRUE,TRUE,TRUE,FALSE,TRUE,"Hybrid","Low",TRUE,18.6,FALSE,44.05,"High study time"
"L0201","Denmark","North America","Clerk","Healthcare","Spreadsheet","Beginner",7,9.1,31,90,51,82.55,"Paused",FALSE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","Upper-Middle",FALSE,23.5,TRUE,31.55,"High study time"
"L0201","Mexico","North America","Student","Education","Power Bi","Beginner",2,9.5,19,45,64,94.75,"Completed",FALSE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","High",TRUE,7.6,TRUE,30.75,"High study time"
"L0203","South Korea","Oceania","Clerk","Education","Spreadsheet","Beginner",10,18.8,19,84,67,60.4,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Self-Paced","Low",FALSE,18.6,FALSE,-6.6,"High study time"
"L0204","Japan","North America","Analyst","Tech","Power Bi","Beginner",7,11.7,13,64,31,89.85,"In Progress",TRUE,TRUE,FALSE,TRUE,TRUE,"Self-Paced","High",TRUE,17.9,TRUE,58.85,"High study time"
"L0205","Germany","Africa","Engineer","Finance","Manual Reporting","Beginner",6,20.3,43,97,79,100,"In Progress",TRUE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",TRUE,21.8,TRUE,21,"High study time"
"L0206","India","Europe","Engineer","Tech","Spreadsheet","Beginner",1,12.2,30,94,66,61.1,"Dropped",FALSE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","Lower-Middle",FALSE,9.7,FALSE,-4.9,"High study time"
"L0207","Singapore","Oceania","Student","Tech","Power Bi","Intermediate",4,14.2,37,63,59,90.1,"Paused",TRUE,TRUE,TRUE,TRUE,TRUE,"Self-Paced","Upper-Middle",TRUE,20.4,TRUE,31.1,"High study time"
"L0208","Norway","Europe","Clerk","Government","Spreadsheet","Beginner",12,8.9,21,71,74,91.45,"Completed",TRUE,TRUE,TRUE,FALSE,TRUE,"Hybrid","Upper-Middle",FALSE,22.1,TRUE,17.45,"High study time"
"L0210","United Kingdom","North America","Clerk","Finance","Spreadsheet","Beginner",11,10.5,23,96,40,60.25,"Completed",FALSE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,24.9,FALSE,20.25,"High study time"
"L0211","Switzerland","South America","Analyst","Retail","Power Bi","Advanced",4,14,31,62,71,62,"Completed",FALSE,FALSE,FALSE,TRUE,TRUE,"Self-Paced","Low",TRUE,19.7,FALSE,-9,"High study time"
"L0212","Denmark","North America","Consultant","Tech","Power Bi","Beginner",2,6.8,29,56,61,76.4,"Completed",FALSE,TRUE,TRUE,FALSE,FALSE,"Hybrid","Lower-Middle",FALSE,23.5,FALSE,15.4,"Moderate study time"
"L0213","Denmark","North America","Student","Healthcare","Spreadsheet","Intermediate",4,14.6,36,57,46,76.3,"Completed",TRUE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","Low",TRUE,23.5,FALSE,30.3,"High study time"
"L0214","Canada","Asia","Engineer","Tech","Excel","Beginner",8,13.7,11,83,21,76.85,"Completed",FALSE,FALSE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,17.2,FALSE,55.85,"High study time"
"L0215","United States","North America","Clerk","Government","Manual Reporting","Beginner",3,2.9,12,80,33,86.45,"Paused",FALSE,FALSE,TRUE,FALSE,FALSE,"Instructor-Led","Upper-Middle",TRUE,24.2,TRUE,53.45,"Low study time"
"L0216","Canada","Africa","Consultant","Tech","Excel","Beginner",9,8.8,26,73,58,65.4,"In Progress",TRUE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Upper-Middle",TRUE,17.2,FALSE,7.40000000000001,"High study time"
"L0216","Singapore","Africa","Analyst","Finance","Excel","Intermediate",8,7.9,27,52,53,57.95,"Completed",TRUE,TRUE,FALSE,FALSE,FALSE,"Hybrid","High",TRUE,20.4,FALSE,4.95,"Moderate study time"
"L0218","Germany","Asia","Student","Healthcare","Power Bi","Beginner",7,15.6,34,78,57,100,"Dropped",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Upper-Middle",FALSE,21.8,TRUE,43,"High study time"
"L0219","Netherlands","Asia","Consultant","Tech","Spreadsheet","Beginner",8,14.3,27,91,74,78.15,"In Progress",FALSE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Upper-Middle",TRUE,13.4,FALSE,4.15000000000001,"High study time"
"L0220","Indonesia","Europe","Analyst","Education","Google Sheets","Beginner",4,8.8,38,75,60,80.4,"Completed",TRUE,FALSE,TRUE,TRUE,FALSE,"Hybrid","Lower-Middle",TRUE,6.8,TRUE,20.4,"High study time"
"L0221","Norway","Europe","Student","Retail","Power Bi","Intermediate",6,11.2,11,78,42,91.6,"Dropped",FALSE,TRUE,TRUE,TRUE,TRUE,"Hybrid","High",FALSE,22.1,TRUE,49.6,"High study time"
"L0222","Mexico","Africa","Analyst","Tech","Excel","Beginner",5,15.1,45,87,73,92.55,"In Progress",FALSE,TRUE,FALSE,TRUE,FALSE,"Hybrid","Upper-Middle",FALSE,7.6,TRUE,19.55,"High study time"
"L0223","France","South America","Clerk","Education","Ms Excel","Intermediate",3,5.6,44,67,49,61.8,"Completed",FALSE,TRUE,FALSE,FALSE,TRUE,"Self-Paced","Lower-Middle",FALSE,14.1,FALSE,12.8,"Moderate study time"
"L0224","Canada","Europe","Consultant","Finance","Spreadsheet","Intermediate",8,12.1,19,70,30,80.05,"Paused",FALSE,FALSE,TRUE,FALSE,TRUE,"Self-Paced","Upper-Middle",TRUE,17.2,TRUE,50.05,"High study time"
"L0225","United States","South America","Student","Education","Ms Excel","Intermediate",9,13.1,29,NA,37,95.55,"Completed",TRUE,FALSE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",TRUE,24.2,TRUE,58.55,"High study time"
"L0226","Singapore","Europe","Student","Government","Power Bi","Beginner",8,13.7,16,90,75,65.85,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Self-Paced","Upper-Middle",FALSE,20.4,FALSE,-9.15000000000001,"High study time"
"L0227","Switzerland","North America","Consultant","Government","Spreadsheet","Beginner",8,7.7,17,49,40,83.85,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Lower-Middle",TRUE,19.7,TRUE,43.85,"Moderate study time"
"L0228","Japan","Europe","Clerk","Healthcare","Spreadsheet","Beginner",11,9.4,32,81,30,90.7,"In Progress",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Lower-Middle",TRUE,17.9,TRUE,60.7,"High study time"
"L0229","Canada","Asia","Student","Retail","Excel","Beginner",11,13.8,32,40,33,89.9,"Dropped",TRUE,FALSE,TRUE,TRUE,TRUE,"Instructor-Led","Lower-Middle",FALSE,17.2,TRUE,56.9,"High study time"
"L0230","Indonesia","Asia","Student","Retail","Spreadsheet","Beginner",11,12.7,7,70,23,67.35,"Dropped",FALSE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Lower-Middle",FALSE,6.8,FALSE,44.35,"High study time"
"L0231","China","Oceania","Consultant","Tech","Excel","Beginner",6,15.3,36,83,35,85.65,"In Progress",FALSE,FALSE,FALSE,TRUE,TRUE,"Hybrid","High",FALSE,16.5,TRUE,50.65,"High study time"
"L0232","Germany","North America","Student","Government","Power Bi","Beginner",4,15.9,41,67,79,97.95,"In Progress",TRUE,TRUE,FALSE,FALSE,FALSE,"Instructor-Led","Upper-Middle",FALSE,21.8,TRUE,18.95,"High study time"
"L0234","United States","Asia","Engineer","Retail","Spreadsheet","Beginner",3,19.2,10,46,68,100,"In Progress",FALSE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Low",TRUE,24.2,TRUE,32,"High study time"
"L0235","Denmark","Africa","Engineer","Retail","Spreadsheet","Intermediate",3,12.6,41,56,21,100,"Completed",FALSE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Upper-Middle",FALSE,23.5,TRUE,79,"High study time"
"L0237","United Kingdom","Asia","Engineer","Retail","Power Bi","Beginner",3,13.7,5,90,79,80.85,"Dropped",FALSE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Lower-Middle",FALSE,24.9,TRUE,1.84999999999999,"High study time"
"L0238","Netherlands","Oceania","Consultant","Education","Spreadsheet","Intermediate",2,7.4,23,64,64,91.7,"Completed",FALSE,FALSE,TRUE,TRUE,TRUE,"Self-Paced","High",FALSE,13.4,TRUE,27.7,"Moderate study time"
"L0239","United Kingdom","North America","Engineer","Education","Ms Excel","Beginner",8,12.6,29,99,52,100,"In Progress",TRUE,TRUE,TRUE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,24.9,TRUE,48,"High study time"
"L0240","Netherlands","Africa","Student","Tech","Excel","Beginner",4,10.7,10,NA,45,88.35,"In Progress",FALSE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,13.4,TRUE,43.35,"High study time"
"L0242","China","North America","Engineer","Finance","Google Sheets","Advanced",2,11.9,31,NA,71,100,"Dropped",FALSE,FALSE,FALSE,FALSE,FALSE,"Self-Paced","High",FALSE,16.5,TRUE,29,"High study time"
"L0243","United Kingdom","Europe","Clerk","Retail","Excel","Intermediate",2,10.4,18,75,60,76.2,"Dropped",FALSE,TRUE,TRUE,TRUE,FALSE,"Instructor-Led","Upper-Middle",FALSE,24.9,FALSE,16.2,"High study time"
"L0244","China","North America","Analyst","Finance","Power Bi","Beginner",8,7.3,15,53,75,58.65,"In Progress",FALSE,FALSE,FALSE,FALSE,TRUE,"Instructor-Led","Lower-Middle",FALSE,16.5,FALSE,-16.35,"Moderate study time"
"L0245","Norway","Asia","Clerk","Education","Spreadsheet","Advanced",10,8.1,34,88,61,98.05,"In Progress",FALSE,TRUE,FALSE,TRUE,TRUE,"Instructor-Led","High",FALSE,22.1,TRUE,37.05,"High study time"
"L0246","France","Asia","Consultant","Retail","Manual Reporting","Intermediate",5,3.5,34,59,24,59.75,"Dropped",FALSE,TRUE,FALSE,FALSE,TRUE,"Hybrid","High",TRUE,14.1,FALSE,35.75,"Low study time"
"L0247","Singapore","North America","Consultant","Healthcare","Power Bi","Intermediate",10,13.1,22,97,58,100,"In Progress",FALSE,FALSE,FALSE,TRUE,FALSE,"Self-Paced","High",FALSE,20.4,TRUE,42,"High study time"
"L0248","Mexico","North America","Manager","Finance","Excel","Beginner",12,11.4,5,98,28,81.7,"Dropped",TRUE,TRUE,FALSE,FALSE,FALSE,"Hybrid","Lower-Middle",FALSE,7.6,TRUE,53.7,"High study time"
"L0249","Mexico","Oceania","Clerk","Healthcare","Spreadsheet","Beginner",1,14.6,13,76,74,69.3,"Completed",FALSE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","Low",FALSE,7.6,FALSE,-4.7,"High study time"
"L0250","France","South America","Clerk","Tech","Spreadsheet","Intermediate",6,13.1,26,45,34,80.55,"Completed",TRUE,TRUE,TRUE,FALSE,TRUE,"Hybrid","Upper-Middle",TRUE,14.1,TRUE,46.55,"High study time"
"L0251","Denmark","North America","Analyst","Education","Spreadsheet","Beginner",5,9.3,28,68,36,72.65,"In Progress",TRUE,TRUE,FALSE,FALSE,TRUE,"Instructor-Led","Low",TRUE,23.5,FALSE,36.65,"High study time"
"L0252","Denmark","Asia","Manager","Finance","Spreadsheet","Intermediate",5,9.7,15,74,62,60.85,"Dropped",FALSE,FALSE,FALSE,TRUE,TRUE,"Instructor-Led","Upper-Middle",TRUE,23.5,FALSE,-1.15,"High study time"
"L0253","South Korea","Africa","Engineer","Retail","Spreadsheet","Beginner",4,6.8,29,72,78,70.4,"Completed",FALSE,FALSE,FALSE,TRUE,FALSE,"Hybrid","High",FALSE,18.6,FALSE,-7.59999999999999,"Moderate study time"
"L0254","Denmark","Europe","Student","Tech","Spreadsheet","Intermediate",11,8.9,35,77,21,56.45,"In Progress",FALSE,FALSE,TRUE,FALSE,FALSE,"Self-Paced","Low",TRUE,23.5,FALSE,35.45,"High study time"
"L0255","Japan","Africa","Clerk","Government","Google Sheets","Intermediate",6,21.8,38,74,55,99.9,"In Progress",TRUE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","High",TRUE,17.9,TRUE,44.9,"High study time"
"L0256","Australia","South America","Engineer","Retail","Excel","Intermediate",7,14.7,13,58,46,73.35,"Completed",TRUE,TRUE,TRUE,FALSE,FALSE,"Self-Paced","Upper-Middle",FALSE,15.9,FALSE,27.35,"High study time"
"L0257","United Kingdom","Africa","Manager","Retail","Google Sheets","Advanced",10,7.1,17,78,40,89.55,"Paused",TRUE,FALSE,TRUE,FALSE,TRUE,"Instructor-Led","High",FALSE,24.9,TRUE,49.55,"Moderate study time"
"L0258","Germany","Asia","Engineer","Healthcare","Spreadsheet","Beginner",3,3.2,39,45,24,99.6,"Completed",FALSE,TRUE,FALSE,TRUE,FALSE,"Self-Paced","High",FALSE,21.8,TRUE,75.6,"Low study time"
"L0259","Switzerland","North America","Engineer","Finance","Google Sheets","Beginner",3,9.6,36,54,75,69.8,"In Progress",FALSE,TRUE,FALSE,TRUE,FALSE,"Instructor-Led","Low",TRUE,19.7,FALSE,-5.2,"High study time"
"L0260","Brazil","Europe","Manager","Education","Google Sheets","Beginner",9,13.9,16,61,42,100,"In Progress",TRUE,TRUE,TRUE,TRUE,TRUE,"Hybrid","Low",FALSE,8.9,TRUE,58,"High study time"
"L0262","India","Oceania","Analyst","Tech","Google Sheets","Beginner",9,9.5,24,100,23,94.75,"In Progress",TRUE,FALSE,FALSE,TRUE,FALSE,"Instructor-Led","Upper-Middle",FALSE,9.7,TRUE,71.75,"High study time"
"L0263","Canada","Asia","Consultant","Education","Manual Reporting","Intermediate",6,9.3,18,43,28,82.65,"Completed",FALSE,FALSE,TRUE,TRUE,FALSE,"Self-Paced","Lower-Middle",TRUE,17.2,TRUE,54.65,"High study time"
"L0264","Mexico","Europe","Analyst","Tech","Excel","Intermediate",4,13.1,37,67,73,59.55,"Completed",FALSE,TRUE,FALSE,TRUE,TRUE,"Hybrid","Upper-Middle",FALSE,7.6,FALSE,-13.45,"High study time"
"L0265","Japan","Africa","Consultant","Healthcare","Spreadsheet","Beginner",3,14.2,36,65,20,81.1,"Paused",TRUE,TRUE,TRUE,FALSE,TRUE,"Self-Paced","Low",FALSE,17.9,TRUE,61.1,"High study time"
