learner_id,learner_name,country,region,job_role,industry,background,excel_years,r_experience_level,enrolment_date,first_login_date,week,study_hours,lessons_completed,confidence_score,pre_assessment_score,project_score,first_script_completed,used_rstudio,used_quarto,used_git,used_renv,preferred_learning_mode,monthly_income_band,completion_status,manager_support,notes,payment_probability_score
L0119,Learner_119, South Korea ,Asia,Manager,Education,Manual Reporting,7.5,Beginner,29 May 2025,2025-06-06,4,9.8,22,81,69,68.9,1,No,0,TRUE,N,Hybrid,Upper-Middle,Completed,Yes,Good progress,18.6
L0120,Learner_120, GERMANY ,Africa, Engineer ,Finance,Excel,2.1,Beginner,2025-04-20,04/30/2025,5,12.2,28,59,51,100,1,FALSE,FALSE,1,TRUE,Self-paced,High,Paused,TRUE,NA,21.8
L0121,Learner_121,CHINA,Oceania, Analyst ,Government,spreadsheet,2.9,Beginner,27-03-2025,27 Mar 2025,12,16.2,26,81,50,65.1,TRUE,FALSE,FALSE,Yes,TRUE,Self-paced,Low,Completed,Yes,Struggling,16.5
L0122,Learner_122,Norway,North America,Clerk,Education,Google Sheets,9,Intermediate,04-12-2025,12/11/2025,2,9.9,19,70,78,65.95,TRUE,No,No,0,FALSE,Hybrid,Upper-Middle, Dropped ,TRUE,Fast learner,22.1
L0123,Learner_123,NORWAY,Europe, Clerk , Government ,google sheets,1.7,Beginner,25-01-2025,03-02-2025,9,13.2,31,NA,79,100,TRUE,No,Y,Y,N,Instructor-led,High,In Progress,No,Fast learner,22.1
L0124,Learner_124,denmark,South America, Consultant ,Healthcare,spreadsheet,1.4,Beginner,2025-01-11,2025-01-12,3,16.5,17,66,58,77.25,Yes,1,FALSE,Y,TRUE,Hybrid,Lower-Middle,In Progress,N,Struggling,23.5
L0125,Learner_125, singapore ,Asia, Student ,Finance, spreadsheet ,7.3,Beginner,26 Apr 2025,2025-04-28,12,0.9,25,88,21,53.45,TRUE,Y,Y,1,Yes,Instructor-led,Lower-Middle,In Progress,Yes,Needs support,20.4
L0126,Learner_126, NIGERIA ,Oceania, Student ,Government, power bi ,5.4,Beginner,12 Nov 2025,12 Nov 2025,4,11.1,38,67,45,NA,0,Yes,N,No,No,Instructor-led,High, In Progress ,Y,Needs support,4.1
L0127,Learner_127,United Kingdom,South America,Manager, Retail ,Spreadsheet,5.4,Intermediate,07 Aug 2025,08/13/2025,6,15.2,7,96,72,71.6,0,N,N,0,1,Self-paced,Upper-Middle,Paused,No,Struggling,24.9
L0128,Learner_128,IRELAND,Africa, Engineer ,Education,power bi,7,Beginner,2025-01-09,NA,2,11.3,37,67,71,NA,Y,N,Y,Y,N,Instructor-led,Upper-Middle,Completed,Yes,NA,25.8
L0129,Learner_129,ireland,South America,Engineer, Healthcare ,Excel,6.5,Beginner,2025-09-07,2025-09-16,1,15,27,86,55,94.5,FALSE,0,FALSE,TRUE,0,Hybrid,High,In Progress,N,Good progress,25.8
L0130,Learner_130, CANADA ,Africa, Manager , Education ,power bi,7.6,Intermediate,20 Oct 2025,24 Oct 2025,9,11.2,33,41,62,79.6,Y,TRUE,Yes,No,1,Self-paced,Upper-Middle, Dropped ,TRUE,Struggling,17.2
L0131,Learner_131, china ,Oceania,Analyst,Retail,google sheets,2.8,Beginner,2025-01-10,16 Jan 2025,7,15.4,27,69,27,58.7,No,N,Yes,0,FALSE,Self-paced,High,In Progress,TRUE,Fast learner,16.5
L0132,Learner_132, india ,Africa,Manager,Government, google sheets ,9.8,Beginner,2025-03-23,03/31/2025,7,12.6,26,70,37,100,Y,N,TRUE,N,N,Hybrid,Lower-Middle, In Progress ,Y,Struggling,9.7
L0133,Learner_133,canada,Europe,Consultant,Finance,Power BI,9.6,Intermediate,12/21/2025,2025-12-25,1,10.6,22,42,55,75.3,FALSE,0,N,Yes,TRUE,Hybrid,High, Dropped ,Y,Fast learner,17.2
L0134,Learner_134,france,Europe,Manager, Tech , excel ,0.3,Intermediate,25-03-2025,2025-03-26,7,12.4,27,73,66,75.2,1,FALSE,Y,1,Yes,Self-paced,Low, Completed ,No,Needs support,14.1
L0135,Learner_135, Japan ,Oceania, Consultant ,Government,Spreadsheet,7.5,Intermediate,22-07-2025,07/30/2025,12,10.2,27,NA,55,75.1,FALSE,TRUE,Yes,Y,0,Instructor-led,Lower-Middle,In Progress,0,NA,17.9
L0136,Learner_136, China ,Africa,Student, Healthcare ,excel,3.7,Beginner,20-08-2025,2025-08-27,7,17.6,38,80,64,NA,No,Y,Y,N,Y,Instructor-led,Lower-Middle,In Progress,FALSE,Struggling,16.5
L0137,Learner_137, NETHERLANDS ,Asia,Analyst, Tech ,SpreadSheet,3.5,Beginner,2025-01-27,05 Feb 2025,10,17,37,44,45,67.5,0,1,FALSE,Y,No,Instructor-led,High,Completed,Yes,Struggling,13.4
L0138,Learner_138, australia ,South America,Clerk,Tech, excel ,0.2,Beginner,15 Aug 2025,25 Aug 2025,9,13.9,10,95,59,65.95,1,Yes,1,1,TRUE,Hybrid,Upper-Middle,In Progress,FALSE,Needs support,15.9
L0139,Learner_139,NIGERIA,North America,Student,Finance,Google Sheets,7.6,Intermediate,12/03/2025,2025-12-12,10,10.5,40,91,51,75.25,0,0,1,Yes,TRUE,Instructor-led,High,Dropped,FALSE,NA,4.1
L0140,Learner_140,Germany,Europe,Engineer, Education , excel ,1.6,Beginner,17 Oct 2025,17-10-2025,7,9.8,34,71,42,84.9,Yes,0,FALSE,0,Yes,Self-paced,Lower-Middle,Completed,No,Struggling,21.8
L0141,Learner_141,norway,Oceania,Analyst,Tech,Google Sheets,1.1,Beginner,28-03-2025,NA,6,8.5,18,NA,74,91.25,N,No,0,1,No,Instructor-led,Lower-Middle,In Progress,Yes,NA,22.1
L0142,Learner_142, germany ,Oceania, Analyst ,Retail,power bi,7.1,Beginner,02/04/2025,02/14/2025,9,9.5,20,76,49,NA,1,1,FALSE,0,TRUE,Self-paced,Low, Completed ,1,Fast learner,21.8
L0143,Learner_143, United States ,Africa, Engineer ,Healthcare, Power BI ,4.5,Beginner,03-11-2025,2025-11-06,5,11,18,58,59,75.5,1,Yes,Yes,Y,FALSE,Instructor-led,High, Dropped ,FALSE,Good progress,24.2
L0144,Learner_144, united kingdom ,Oceania,Consultant, Education ,power bi,0.3,Beginner,06/06/2025,06/12/2025,5,13.5,10,NA,69,63.75,Y,1,Y,No,Yes,Instructor-led,Low, Paused ,0,NA,24.9
L0144,Learner_145,BRAZIL,Asia,Manager, Education ,excel,9.2,Beginner,04/02/2025,07-04-2025,12,20.3,11,90,28,82.15,0,TRUE,TRUE,TRUE,FALSE,Hybrid,Upper-Middle, In Progress ,Yes,NA,8.9
L0146,Learner_146,DENMARK,North America,Analyst,Education, excel ,7.8,Beginner,07 Nov 2025,10 Nov 2025,8,15,38,72,72,80.5,0,N,1,Y,1,Instructor-led,Low, Paused ,Yes,Struggling,23.5
L0147,Learner_147,Denmark,North America,Analyst,Government, Power BI ,4.3,Beginner,06/19/2025,22 Jun 2025,1,9.4,39,50,32,83.7,Y,No,1,Y,0,Self-paced,Lower-Middle,Completed,FALSE,Needs support,23.5
L0148,Learner_148, IRELAND ,Asia,Manager,Tech, Google Sheets ,1.3,Beginner,29 Jun 2025,29 Jun 2025,2,16.5,16,NA,57,NA,1,TRUE,Y,Y,N,Hybrid,Lower-Middle,Dropped,FALSE,Good progress,25.8
L0149,Learner_149,Denmark,South America,Engineer,Education, SpreadSheet ,8.2,Advanced,07/03/2025,NA,12,6.5,31,83,21,96.25,TRUE,N,Y,FALSE,0,Self-paced,High,In Progress,FALSE,Good progress,23.5
L0149,Learner_150,France,Africa,Clerk,Government,spreadsheet,7.2,Beginner,2025-11-29,03-12-2025,8,8,32,99,33,64,Y,1,FALSE,Y,No,Self-paced,Lower-Middle, Completed ,FALSE,Good progress,14.1
L0151,Learner_151,brazil,Oceania, Clerk ,Tech,power bi,4.1,Intermediate,04/23/2025,04/23/2025,4,7.3,17,47,64,81.65,0,Yes,Yes,0,FALSE,Hybrid,Lower-Middle,Completed,0,Fast learner,8.9
L0152,Learner_152,SWITZERLAND,Asia,Student,Tech, MS Excel ,1.7,Beginner,2025-03-23,2025-03-30,12,11.9,25,NA,66,90.95,FALSE,Yes,TRUE,N,N,Instructor-led,Low, Dropped ,Y,Needs support,19.7
L0153,Learner_153,Singapore,Asia,Analyst, Healthcare ,MS Excel,0.1,Intermediate,2025-06-03,10-06-2025,10,4.7,33,45,42,57.35,TRUE,TRUE,0,Y,Yes,Self-paced,Low,Paused,Yes,Needs support,20.4
L0154,Learner_154,DENMARK,Europe,Manager,Government,Manual Reporting,3.4,Intermediate,08 Apr 2025,04/12/2025,8,17.7,29,78,54,100,1,N,Yes,FALSE,TRUE,Self-paced,Upper-Middle, Dropped ,0,Good progress,23.5
L0155,Learner_155,Ireland,South America,Consultant, Retail ,Excel,1.9,Beginner,09 Apr 2025,04/09/2025,12,14.9,13,NA,58,100,0,1,0,Yes,No,Self-paced,Low, Completed ,FALSE,Fast learner,25.8
L0156,Learner_156,Singapore,South America,Clerk,Government,spreadsheet,5.6,Beginner,06/15/2025,06/18/2025,8,16.4,6,80,72,98.2,No,1,No,N,No,Self-paced,Lower-Middle,Paused,1,Fast learner,20.4
L0157,Learner_157,south korea,Europe,Manager,Government,Google Sheets,5.9,Beginner,19 Sep 2025,2025-09-25,10,11.9,34,82,55,87.95,N,Y,FALSE,Yes,Y,Self-paced,High,Completed,Y,NA,18.6
L0158,Learner_158,DENMARK,Europe,Clerk,Healthcare,Power BI,2.8,Intermediate,2025-12-13,2025-12-16,11,16.2,30,46,23,83.1,No,Yes,N,TRUE,Y,Instructor-led,Low,Completed,FALSE,NA,23.5
L0159,Learner_159, Germany ,Europe, Clerk ,Tech,Excel,9.3,Intermediate,2025-04-24,01-05-2025,9,13.3,43,72,35,95.65,Yes,0,Y,FALSE,TRUE,Self-paced,High, Paused ,N,NA,21.8
L0160,Learner_160,DENMARK,South America,Manager,Retail,Google Sheets,7,Beginner,11-04-2025,20 Apr 2025,3,16.1,21,81,34,NA,1,Yes,Yes,Yes,No,Instructor-led,High,Dropped,Y,NA,23.5
L0161,Learner_161,switzerland,South America, Clerk , Retail , power bi ,2.8,Intermediate,14 Jan 2025,01/23/2025,6,9.2,26,51,48,83.6,Yes,TRUE,No,TRUE,1,Instructor-led,Low,Dropped,0,Fast learner,19.7
L0162,Learner_162,Singapore,Oceania,Engineer,Education, Google Sheets ,7.2,Beginner,10/01/2025,08-10-2025,5,9.5,18,48,62,65.75,Yes,0,FALSE,N,Y,Self-paced,High, Paused ,FALSE,Good progress,20.4
L0163,Learner_163,China,North America,Clerk,Education,excel,6.1,Beginner,15 Jul 2025,2025-07-18,1,14,34,78,70,92,N,Yes,FALSE,No,1,Hybrid,High, Dropped ,TRUE,Good progress,16.5
L0164,Learner_164,SINGAPORE,Africa,Clerk, Government ,google sheets,4.1,Intermediate,04/05/2025,2025-04-07,4,7.6,14,81,25,84.8,Y,No,TRUE,N,N,Instructor-led,Upper-Middle,Completed,0,Needs support,20.4
L0165,Learner_165,Singapore,North America,Manager, Healthcare , Spreadsheet ,1.7,Intermediate,2025-09-30,2025-10-01,12,19.7,16,92,40,69.85,FALSE,TRUE,TRUE,N,Y,Self-paced,High,Dropped,Y,Fast learner,20.4
L0166,Learner_166,japan,Oceania, Consultant , Finance , MS Excel ,0.2,Intermediate,11 Jul 2025,17-07-2025,11,12.9,14,56,80,98.45,Yes,0,0,TRUE,N,Hybrid,Low,Dropped,0,NA,17.9
L0167,Learner_167,France,North America,Consultant,Tech,excel,1.5,Beginner,24-05-2025,NA,7,14.8,34,66,57,63.4,TRUE,0,TRUE,1,0,Instructor-led,Low,Completed,1,Struggling,14.1
L0168,Learner_168, denmark ,Africa,Engineer,Education,excel,5.9,Beginner,27 Oct 2025,27 Oct 2025,12,13.2,12,55,32,64.6,1,N,0,N,Yes,Self-paced,Low,Paused,FALSE,Needs support,23.5
L0169,Learner_169,GERMANY,Europe, Engineer ,Education,Power BI,2.2,Advanced,2025-03-24,2025-03-24,1,19,26,87,51,100,No,Y,Yes,No,Yes,Hybrid,Low,Completed,Y,Needs support,21.8
L0170,Learner_170,DENMARK,Asia,Student, Government , MS Excel ,0.4,Beginner,13-09-2025,2025-09-15,9,10,41,80,60,97,FALSE,No,N,FALSE,Yes,Instructor-led,High,In Progress,1,Struggling,23.5
L0171,Learner_171, CHINA ,South America,Student,Tech,excel,9.1,Beginner,20-06-2025,NA,11,11.5,12,88,21,70.75,TRUE,Y,TRUE,FALSE,N,Self-paced,Low,In Progress,TRUE,NA,16.5
L0172,Learner_172,united kingdom,Asia, Clerk ,Tech,Google Sheets,8.7,Beginner,23 Apr 2025,01-05-2025,12,12.5,31,79,23,69.25,1,Yes,0,TRUE,Y,Self-paced,Lower-Middle,Dropped,No,NA,24.9
L0173,Learner_173,BRAZIL,Europe,Analyst, Finance ,Power BI,8.3,Intermediate,26 Oct 2025,2025-11-02,10,11.3,20,69,25,81.65,N,0,No,Yes,Yes,Instructor-led,Low,Completed,FALSE,Fast learner,8.9
L0174,Learner_174,France,North America,Consultant,Finance,Excel,6.1,Intermediate,03-05-2025,13-05-2025,9,12.3,26,64,79,89.15,Yes,0,1,Yes,1,Hybrid,High,Completed,N,Struggling,14.1
L0175,Learner_175,Canada,Oceania,Consultant,Tech, Excel ,7.2,Intermediate,03-09-2025,09 Sep 2025,12,10.2,36,75,29,97.1,Y,FALSE,TRUE,FALSE,Y,Instructor-led,Lower-Middle,Completed,1,Struggling,17.2
L0176,Learner_176, China ,Oceania,Consultant,Retail,Power BI,8,Beginner,05 Apr 2025,04/08/2025,1,15.5,43,54,66,NA,1,0,FALSE,1,1,Self-paced,Lower-Middle,Completed,No,NA,16.5
L0177,Learner_177,singapore,Europe,Consultant, Healthcare ,Manual Reporting,8.7,Beginner,18 Oct 2025,22 Oct 2025,9,11.3,18,60,72,65.65,N,No,No,1,1,Instructor-led,Lower-Middle,Completed,0,Needs support,20.4
L0178,Learner_178, JAPAN ,South America,Clerk,Finance,MS Excel,7,Intermediate,16 Apr 2025,04/19/2025,10,11.8,43,75,38,83.9,No,No,1,FALSE,TRUE,Self-paced,High, Completed ,N,Needs support,17.9
L0179,Learner_179, india ,Europe, Engineer ,Healthcare,Google Sheets,3.4,Intermediate,18-04-2025,04/27/2025,6,12.2,19,NA,33,NA,TRUE,No,N,Y,FALSE,Self-paced,Upper-Middle, Dropped ,TRUE,Needs support,9.7
L0180,Learner_180,SOUTH KOREA,Oceania, Student ,Healthcare,Power BI,5,Beginner,02 Jun 2025,06/04/2025,10,8.3,34,69,56,99.15,No,Yes,0,N,N,Self-paced,Upper-Middle,Completed,FALSE,Needs support,18.6
L0181,Learner_181,BRAZIL,Asia,Student, Education , Power BI ,7.8,Beginner,03/19/2025,NA,1,13.9,18,63,39,71.95,TRUE,No,TRUE,TRUE,No,Instructor-led,Low, Paused ,0,NA,8.9
L0182,Learner_182,Norway,Oceania,Analyst, Tech ,Google Sheets,4.2,Beginner,05/23/2025,26-05-2025,7,10.5,14,90,34,78.25,1,0,Yes,Y,0,Hybrid,High,In Progress,No,Needs support,22.1
L0183,Learner_183,CANADA,South America,Consultant,Tech,Excel,5.8,Intermediate,06 Oct 2025,10/16/2025,12,12.9,33,41,68,70.45,Y,N,N,N,FALSE,Self-paced,Upper-Middle, Dropped ,N,Good progress,17.2
L0184,Learner_184,denmark,South America,Manager,Government,power bi,3,Advanced,08-05-2025,05/17/2025,12,12.4,42,56,23,59.2,No,Y,0,Y,N,Self-paced,Lower-Middle, In Progress ,Yes,Fast learner,23.5
L0185,Learner_185,SOUTH KOREA,Africa,Analyst,Retail,MS Excel,1.5,Beginner,04-12-2025,12-12-2025,3,13.5,34,75,61,69.75,Yes,TRUE,1,0,1,Instructor-led,Upper-Middle,Completed,FALSE,Fast learner,18.6
L0186,Learner_186,SWITZERLAND,Oceania, Consultant , Government ,power bi,2.8,Intermediate,2025-10-26,31 Oct 2025,3,13.7,20,67,28,100,Yes,1,Y,FALSE,Yes,Self-paced,Upper-Middle,In Progress,1,NA,19.7
L0187,Learner_187,DENMARK,Asia,Clerk,Tech,MS Excel,2,Intermediate,30-12-2025,01 Jan 2026,5,13.2,23,93,34,100,0,FALSE,0,Y,TRUE,Self-paced,Upper-Middle,Completed,N,Fast learner,23.5
L0188,Learner_188,JAPAN,Asia,Student, Healthcare ,spreadsheet,2.3,Beginner,18 Sep 2025,28-09-2025,12,15.4,19,99,31,67.7,Y,1,Yes,FALSE,No,Self-paced,High, In Progress ,TRUE,Fast learner,17.9
L0189,Learner_189,indonesia,North America,Analyst, Finance ,Power BI,5.2,Beginner,20 Jul 2025,22 Jul 2025,1,9.5,23,82,20,99.75,Yes,0,N,0,TRUE,Self-paced,Low,Dropped,FALSE,Needs support,6.8
L0190,Learner_190,india,South America,Manager,Education, google sheets ,9.2,Beginner,02/12/2025,20 Feb 2025,2,10.3,26,46,72,63.15,TRUE,FALSE,FALSE,No,TRUE,Hybrid,Low,Completed,Yes,NA,9.7
L0191,Learner_191,DENMARK,South America, Manager , Finance , spreadsheet ,5.8,Intermediate,2025-10-09,10/12/2025,7,13.7,6,96,68,100,0,Y,FALSE,N,Yes,Instructor-led,Upper-Middle,Completed,FALSE,NA,23.5
L0192,Learner_192,Norway,Europe,Manager, Healthcare ,google sheets,2.6,Intermediate,2025-09-02,2025-09-06,1,8.3,23,77,61,67.15,0,N,TRUE,No,1,Self-paced,Upper-Middle,Paused,Yes,Struggling,22.1
L0192,Learner_193,NIGERIA,Asia, Consultant ,Healthcare,SpreadSheet,3.7,Beginner,30-11-2025,12/08/2025,8,16.7,19,70,20,94.35,Y,FALSE,Y,Yes,N,Instructor-led,Upper-Middle,Completed,N,NA,4.1
L0194,Learner_194,China,North America, Student ,Retail, Manual Reporting ,5.6,Advanced,05/20/2025,30-05-2025,3,11.2,16,80,41,63.6,FALSE,FALSE,1,1,1,Instructor-led,Low,In Progress,N,Good progress,16.5
L0195,Learner_195,Indonesia,Asia,Consultant,Retail,google sheets,1.6,Intermediate,14 Jan 2025,2025-01-21,6,11.7,36,42,67,56.85,Y,No,No,TRUE,Y,Instructor-led,Low,In Progress,Y,Struggling,6.8
L0196,Learner_196,switzerland,Oceania,Engineer,Finance,google sheets,6.7,Beginner,10/04/2025,NA,9,8.5,31,60,44,NA,FALSE,0,Y,N,No,Instructor-led,Low, In Progress ,No,Good progress,19.7
L0196,Learner_197,Germany,North America,Clerk,Retail,Power BI,0.2,Intermediate,04 Oct 2025,12 Oct 2025,1,16.2,18,58,52,94.1,No,No,Yes,1,Y,Self-paced,Lower-Middle, Paused ,FALSE,Fast learner,21.8
L0198,Learner_198, China ,South America, Clerk ,Retail,spreadsheet,0.1,Beginner,11/21/2025,25-11-2025,11,13.6,16,54,71,88.8,N,TRUE,Yes,TRUE,TRUE,Hybrid,Low,Completed,FALSE,Struggling,16.5
L0199,Learner_199,UNITED KINGDOM,Asia, Analyst ,Finance,Manual Reporting,6.6,Intermediate,29 Mar 2025,2025-04-04,3,13.4,39,NA,54,100,No,Yes,Y,0,FALSE,Self-paced,Lower-Middle, Completed ,No,Fast learner,24.9
L0200,Learner_200, south korea ,Asia,Student,Education,MS Excel,2.1,Beginner,2025-03-23,27 Mar 2025,5,10.1,20,NA,29,73.05,Y,Y,TRUE,N,TRUE,Hybrid,Low,Completed,Yes,Fast learner,18.6
L0201,Learner_201,Denmark,North America, Clerk ,Healthcare,SpreadSheet,3.8,Beginner,2025-11-26,27 Nov 2025,7,9.1,31,90,51,82.55,N,0,TRUE,N,FALSE,Instructor-led,Upper-Middle,Paused,FALSE,NA,23.5
L0201,Learner_202,Mexico,North America,Student,Education,Power BI,1.6,Beginner,01/08/2025,2025-01-17,2,9.5,19,45,64,94.75,0,FALSE,1,FALSE,1,Instructor-led,High,Completed,TRUE,Struggling,7.6
L0203,Learner_203,south korea,Oceania,Clerk,Education,spreadsheet,7.1,Beginner,10/15/2025,17 Oct 2025,10,18.8,19,84,67,60.4,Y,1,Yes,1,TRUE,Self-paced,Low, In Progress ,FALSE,Good progress,18.6
L0204,Learner_204, JAPAN ,North America, Analyst ,Tech,power bi,6.1,Beginner,2025-11-21,NA,7,11.7,13,64,31,89.85,Y,TRUE,0,TRUE,Yes,Self-paced,High, In Progress ,Y,NA,17.9
L0205,Learner_205,germany,Africa, Engineer ,Finance,Manual Reporting,0.6,Beginner,08 Jul 2025,07/17/2025,6,20.3,43,97,79,100,1,Y,FALSE,FALSE,TRUE,Self-paced,Lower-Middle, In Progress ,TRUE,NA,21.8
L0206,Learner_206, INDIA ,Europe,Engineer,Tech, Spreadsheet ,4.1,Beginner,2025-02-09,2025-02-17,1,12.2,30,94,66,61.1,0,Yes,1,TRUE,FALSE,Instructor-led,Lower-Middle,Dropped,No,Good progress,9.7
L0207,Learner_207,SINGAPORE,Oceania,Student,Tech,power bi,1.1,Intermediate,2025-12-12,18 Dec 2025,4,14.2,37,63,59,90.1,1,TRUE,Yes,Yes,TRUE,Self-paced,Upper-Middle,Paused,1,NA,20.4
L0208,Learner_208,norway,Europe, Clerk ,Government,Spreadsheet,4,Beginner,12-07-2025,18 Jul 2025,12,8.9,21,71,74,91.45,1,1,TRUE,FALSE,Y,Hybrid,Upper-Middle,Completed,0,Good progress,22.1
L0209,Learner_209,UNITED KINGDOM,South America, Clerk , Healthcare ,SpreadSheet,4.6,Beginner,11/02/2025,NA,4,16.7,23,88,78,NA,TRUE,Yes,Y,FALSE,FALSE,Self-paced,High,Dropped,No,Needs support,24.9
L0210,Learner_210,UNITED KINGDOM,North America,Clerk,Finance,spreadsheet,6.2,Beginner,13 Feb 2025,23-02-2025,11,10.5,23,96,40,60.25,No,0,FALSE,0,No,Instructor-led,Lower-Middle,Completed,1,Fast learner,24.9
L0211,Learner_211,SWITZERLAND,South America,Analyst,Retail,Power BI,0.8,Advanced,06/19/2025,2025-06-28,4,14,31,62,71,62,No,N,N,Y,Yes,Self-paced,Low,Completed,Yes,NA,19.7
L0212,Learner_212,denmark,North America, Consultant ,Tech,power bi,3.4,Beginner,05/24/2025,02-06-2025,2,6.8,29,56,61,76.4,FALSE,Yes,Yes,No,No,Hybrid,Lower-Middle, Completed ,N,Needs support,23.5
L0213,Learner_213, denmark ,North America,Student,Healthcare,spreadsheet,0.2,Intermediate,12 Aug 2025,15 Aug 2025,4,14.6,36,57,46,76.3,Y,N,0,1,N,Self-paced,Low,Completed,1,NA,23.5
L0214,Learner_214,canada,Asia,Engineer,Tech,excel,3.4,Beginner,17 Nov 2025,21-11-2025,8,13.7,11,83,21,76.85,0,N,No,No,No,Instructor-led,Lower-Middle,Completed,Yes,Needs support,17.2
L0215,Learner_215,united states,North America,Clerk,Government, Manual Reporting ,7.8,Beginner,18 Mar 2025,24 Mar 2025,3,2.9,12,80,33,86.45,0,FALSE,Y,N,No,Instructor-led,Upper-Middle,Paused,1,NA,24.2
L0216,Learner_216,Canada,Africa, Consultant , Tech ,Excel,7.4,Beginner,30 Jul 2025,07/30/2025,9,8.8,26,73,58,65.4,1,Yes,0,N,FALSE,Self-paced,Upper-Middle,In Progress,Yes,NA,17.2
L0216,Learner_217, Singapore ,Africa,Analyst, Finance ,excel,8.2,Intermediate,03 Nov 2025,13-11-2025,8,7.9,27,52,53,57.95,Y,1,N,0,0,Hybrid,High,Completed,1,Struggling,20.4
L0218,Learner_218,germany,Asia,Student,Healthcare, power bi ,0.6,Beginner,2025-08-06,10-08-2025,7,15.6,34,78,57,100,Y,Yes,No,FALSE,No,Instructor-led,Upper-Middle,Dropped,FALSE,Good progress,21.8
L0219,Learner_219,netherlands,Asia,Consultant, Tech , SpreadSheet ,1.5,Beginner,08/02/2025,12 Aug 2025,8,14.3,27,91,74,78.15,FALSE,0,FALSE,Y,TRUE,Instructor-led,Upper-Middle,In Progress,1,NA,13.4
L0220,Learner_220, Indonesia ,Europe, Analyst ,Education,Google Sheets,6.5,Beginner,04/08/2025,17-04-2025,4,8.8,38,75,60,80.4,1,FALSE,TRUE,Y,0,Hybrid,Lower-Middle,Completed,1,NA,6.8
L0221,Learner_221,Norway,Europe,Student,Retail, Power BI ,3.9,Intermediate,22-06-2025,26 Jun 2025,6,11.2,11,78,42,91.6,No,TRUE,Y,TRUE,1,Hybrid,High,Dropped,No,Fast learner,22.1
L0222,Learner_222,Mexico,Africa,Analyst,Tech, excel ,1.8,Beginner,25 Sep 2025,2025-10-03,5,15.1,45,87,73,92.55,0,TRUE,FALSE,Y,FALSE,Hybrid,Upper-Middle,In Progress,N,Fast learner,7.6
L0223,Learner_223,FRANCE,South America,Clerk,Education,MS Excel,1.3,Intermediate,2025-10-28,NA,3,5.6,44,67,49,61.8,No,Yes,N,0,Y,Self-paced,Lower-Middle, Completed ,FALSE,Needs support,14.1
L0224,Learner_224, CANADA ,Europe,Consultant,Finance,spreadsheet,1.3,Intermediate,08/24/2025,28 Aug 2025,8,12.1,19,70,30,80.05,FALSE,No,Y,N,Yes,Self-paced,Upper-Middle,Paused,1,NA,17.2
L0225,Learner_225, UNITED STATES ,South America,Student,Education,MS Excel,6.2,Intermediate,2025-10-28,30 Oct 2025,9,13.1,29,NA,37,95.55,1,No,FALSE,0,Yes,Instructor-led,Lower-Middle, Completed ,Yes,Struggling,24.2
L0226,Learner_226,singapore,Europe, Student , Government ,Power BI,5,Beginner,11 Dec 2025,12/13/2025,8,13.7,16,90,75,65.85,FALSE,Y,FALSE,0,No,Self-paced,Upper-Middle,Completed,N,Struggling,20.4
L0227,Learner_227,SWITZERLAND,North America,Consultant,Government,SpreadSheet,4.9,Beginner,2025-01-03,2025-01-13,8,7.7,17,49,40,83.85,0,1,N,No,No,Hybrid,Lower-Middle,Completed,Y,Needs support,19.7
L0228,Learner_228,Japan,Europe,Clerk, Healthcare ,Spreadsheet,8.7,Beginner,29-04-2025,2025-04-29,11,9.4,32,81,30,90.7,Yes,Yes,FALSE,No,0,Instructor-led,Lower-Middle, In Progress ,TRUE,NA,17.9
L0229,Learner_229,CANADA,Asia,Student,Retail,Excel,1.9,Beginner,24 Nov 2025,12/01/2025,11,13.8,32,40,33,89.9,1,N,Y,TRUE,1,Instructor-led,Lower-Middle, Dropped ,FALSE,Struggling,17.2
L0230,Learner_230, Indonesia ,Asia, Student , Retail ,spreadsheet,7.6,Beginner,08/17/2025,NA,11,12.7,7,70,23,67.35,No,Yes,N,FALSE,No,Hybrid,Lower-Middle, Dropped ,No,Struggling,6.8
L0231,Learner_231,China,Oceania,Consultant,Tech, Excel ,2.2,Beginner,18 Apr 2025,04/18/2025,6,15.3,36,83,35,85.65,0,0,No,1,Y,Hybrid,High,In Progress,N,Good progress,16.5
L0232,Learner_232,Germany,North America,Student,Government,power bi,1.6,Beginner,2025-11-09,2025-11-19,4,15.9,41,67,79,97.95,Y,Y,FALSE,FALSE,No,Instructor-led,Upper-Middle,In Progress,N,Fast learner,21.8
L0233,Learner_233,JAPAN,Oceania,Engineer, Finance , Power BI ,1.4,Beginner,2025-05-12,2025-05-18,1,12.6,38,62,58,NA,FALSE,0,FALSE,Y,0,Self-paced,Lower-Middle, In Progress ,Yes,NA,17.9
L0234,Learner_234,UNITED STATES,Asia, Engineer ,Retail,SpreadSheet,8.9,Beginner,20-09-2025,22 Sep 2025,3,19.2,10,46,68,100,FALSE,N,1,Yes,FALSE,Self-paced,Low, In Progress ,TRUE,Needs support,24.2
L0235,Learner_235,denmark,Africa,Engineer,Retail,Spreadsheet,6.7,Intermediate,2025-08-20,08/28/2025,3,12.6,41,56,21,100,No,Yes,FALSE,No,N,Hybrid,Upper-Middle,Completed,FALSE,Needs support,23.5
